document_number,title,category,discipline,wbs_code,revision,status,required_date,gate_code,mandatory,folder_path,remarks
COMM-10,DiCo Trasformatori MT/BT e BT/BT,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-11,Test curva IV su 100% delle stringhe (irraggiamento fra 800 e 1200 W/m2 per IEC 60904-1),Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-12,Misura della corrente in AC e DC,Commissioning,Commissioning,,,NOT STARTED,,B,YES,Commissioning check list (Hot),Hot commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-13,Inverter - accensione DC e verifica configurazione (cold commissioning),Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-13b,Inverter - test di messa in servizio e verifica funzionalita,Commissioning,Commissioning,,,NOT STARTED,,B,YES,Commissioning check list (Hot),Hot commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-14,DiCo QGBT,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-15,Test di commissioning di TVCC,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-16,Test di commissioning di UPS,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-17,"Prova dei trasformatori: correnti di magnetizzazione e impedenza, resistenza di isolamento degli avvolgimenti, resistenza dell'avvolgimento, perdite a vuoto",Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-18,Test di commissioning dello SCADA e test della meteo station,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-19,Analisi termografica dei moduli fotovoltaici (100%),Commissioning,Commissioning,,,NOT STARTED,,B,YES,Commissioning check list (Hot),Hot commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-20,Elenco dei numeri SIM e dei contatori su cui e installata la SIM,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-21,Certificato di taratura a banco dei contatori di produzione (GME-M2),Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-22,Dico 37/08 impianto fotovoltaico,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
